Date,Open,High,Low,Close,Adj Close
"Jul 31, 2024",16.66,16.77,15.71,16.36,16.36
"Jul 30, 2024",16.64,18.32,16.26,17.69,17.69
"Jul 29, 2024",16.59,17.21,16.23,16.60,16.60
"Jul 26, 2024",17.97,18.05,16.37,16.39,16.39
"Jul 25, 2024",18.41,19.36,16.42,18.46,18.46
"Jul 24, 2024",15.35,18.46,15.18,18.04,18.04
"Jul 23, 2024",15.21,15.35,13.90,14.72,14.72
"Jul 22, 2024",16.79,16.89,14.75,14.91,14.91
"Jul 19, 2024",16.44,17.19,10.62,16.52,16.52
"Jul 18, 2024",14.27,16.43,14.08,15.93,15.93
"Jul 17, 2024",13.60,14.88,13.54,14.48,14.48
"Jul 16, 2024",13.38,13.47,12.95,13.19,13.19
"Jul 15, 2024",12.78,13.26,12.75,13.12,13.12
"Jul 12, 2024",12.87,12.89,12.11,12.46,12.46
"Jul 11, 2024",12.88,13.33,12.23,12.92,12.92
"Jul 10, 2024",12.51,12.92,12.39,12.85,12.85
"Jul 9, 2024",12.48,12.61,12.35,12.51,12.51
"Jul 8, 2024",12.91,12.91,12.31,12.37,12.37
"Jul 5, 2024",12.37,12.61,11.84,12.48,12.48
"Jul 3, 2024",12.13,12.23,11.95,12.09,12.09
"Jul 2, 2024",12.67,12.88,11.85,12.03,12.03
"Jul 1, 2024",12.98,13.26,12.10,12.22,12.22
